2023-04-21 20:48:49
Calculation of atomic orbitals for a central potential
Solving Schrodinger eq. by variable sptep-size Numerov method
Green-Sellin-Zachor potential
Z	N	H	D	L	E(a.u.)	  r_max(a.u.)	N. points
6	6	1.25	0.467	0	-0.36	  9.0		300
Normalised radial wavefunction P(r)
 Format r(i), P(i) with r(i)=  0.0001*i^2
 3.062500e+00   4.399526e-01
 3.097600e+00   4.330435e-01
 3.132900e+00   4.261333e-01
 3.168400e+00   4.192258e-01
 3.204100e+00   4.123253e-01
 3.240000e+00   4.054354e-01
 3.276100e+00   3.985600e-01
 3.312400e+00   3.917027e-01
 3.348900e+00   3.848670e-01
 3.385600e+00   3.780564e-01
 3.422500e+00   3.712742e-01
 3.459600e+00   3.645235e-01
 3.496900e+00   3.578075e-01
 3.534400e+00   3.511291e-01
 3.572100e+00   3.444912e-01
 3.610000e+00   3.378966e-01
 3.648100e+00   3.313479e-01
 3.686400e+00   3.248476e-01
 3.724900e+00   3.183982e-01
 3.763600e+00   3.120021e-01
 3.802500e+00   3.056613e-01
 3.841600e+00   2.993781e-01
 3.880900e+00   2.931545e-01
 3.920400e+00   2.869923e-01
 3.960100e+00   2.808934e-01
 4.000000e+00   2.748594e-01
 4.040100e+00   2.688920e-01
 4.080400e+00   2.629927e-01
 4.120900e+00   2.571628e-01
 4.161600e+00   2.514038e-01
 4.202500e+00   2.457168e-01
 4.243600e+00   2.401030e-01
 4.284900e+00   2.345633e-01
 4.326400e+00   2.290988e-01
 4.368100e+00   2.237103e-01
 4.410000e+00   2.183986e-01
 4.452100e+00   2.131643e-01
 4.494400e+00   2.080082e-01
 4.536900e+00   2.029308e-01
 4.579600e+00   1.979324e-01
 4.622500e+00   1.930136e-01
 4.665600e+00   1.881746e-01
 4.708900e+00   1.834156e-01
 4.752400e+00   1.787368e-01
 4.796100e+00   1.741385e-01
 4.840000e+00   1.696204e-01
 4.884100e+00   1.651828e-01
 4.928400e+00   1.608254e-01
 4.972900e+00   1.565482e-01
 5.017600e+00   1.523509e-01
 5.062500e+00   1.482334e-01
 5.107600e+00   1.441952e-01
 5.152900e+00   1.402361e-01
 5.198400e+00   1.363556e-01
 5.244100e+00   1.325534e-01
 5.290000e+00   1.288288e-01
 5.336100e+00   1.251814e-01
 5.382400e+00   1.216106e-01
 5.428900e+00   1.181159e-01
 5.475600e+00   1.146964e-01
 5.522500e+00   1.113516e-01
 5.569600e+00   1.080808e-01
 5.616900e+00   1.048831e-01
 5.664400e+00   1.017579e-01
 5.712100e+00   9.870424e-02
 5.760000e+00   9.572140e-02
 5.808100e+00   9.280848e-02
 5.856400e+00   8.996461e-02
 5.904900e+00   8.718890e-02
 5.953600e+00   8.448042e-02
 6.002500e+00   8.183825e-02
